Txn_ID,Is MP,Is MH,Start time,End time,Duration (ms),Server (ms),Fwd (ms),MH orderer (ms),Seq (ms),Log man (ms),Sched (ms),Lck man (ms),Worker (ms),Wait (ms),Other (ms)
1894196541652993,False,False,1750159782259263175,1750159782440572459,181.30928,0.00071,0.0,0.0,0.0,0.0,0.0,180.09968,0.00777,0.0,1.20111
2270139324039169,False,False,1750159789342588716,1750159789505150141,162.56142,0.00038,0.0,0.0,0.0,0.0,0.0,160.82608,0.01172,0.0,1.72324
2058268587327488,False,False,1750159785279259649,1750159785282083129,2.82348,0.00037,0.0,0.0,0.0,0.0,0.0,1.64376,0.0061,0.0,1.17325
2139482123927553,False,False,1750159786819273775,1750159787018628325,199.35455,0.00043,0.0,0.0,0.0,0.0,0.0,198.33958,0.00966,0.0,1.00488
603086422802432,False,False,1750159759894346582,1750159760095118369,200.77179,0.00062,0.0,0.0,0.0,0.0,0.0,199.484,0.01051,0.0,1.27665
3272202438836225,False,False,1750159806384946763,1750159806522503778,137.55702,0.00036,0.0,0.0,0.0,0.0,0.0,136.62378,0.01435,0.0,0.91853
1107818094526464,False,False,1750159769002616874,1750159769005436949,2.82007,0.00035,0.0,0.0,0.0,0.0,0.0,1.99471,0.00706,0.0,0.81795
3458853127585792,False,False,1750159809583578710,1750159809797563733,213.98502,0.00073,0.0,0.0,0.0,0.0,0.0,212.86198,0.00738,0.0,1.11493
3286972831367169,False,False,1750159806631023656,1750159806777934133,146.91048,0.00034,0.0,0.0,0.0,0.0,0.0,145.69209,0.00667,0.0,1.21137
2228104479113217,True,False,1750159788536209573,1750159788735815463,199.60589,0.70351,0.0,0.0,0.0,0.0,0.0,197.43754,0.48407,0.0,0.98077
1489559082762240,True,False,1750159775655900029,1750159775847496647,191.59662,0.7035,0.0,0.0,0.0,0.0,0.0,189.71967,0.42713,0.0,0.74632
2613418880139265,False,False,1750159795173678660,1750159795313031438,139.35278,0.00045,0.0,0.0,0.0,0.0,0.0,138.04052,0.01397,0.0,1.29784
3482217749676033,False,False,1750159809982484268,1750159809985762538,3.27827,0.00058,0.0,0.0,0.0,0.0,0.0,2.09745,0.00591,0.0,1.17433
2298748101197825,False,False,1750159789817771602,1750159789821464466,3.69286,0.00045,0.0,0.0,0.0,0.0,0.0,2.13803,0.00568,0.0,1.5487
1349345580417025,False,False,1750159773265669700,1750159773441475389,175.80569,0.00059,0.0,0.0,0.0,0.0,0.0,174.66593,0.00634,0.0,1.13282
2098022804619264,False,False,1750159786027486662,1750159786030060176,2.57351,0.00037,0.0,0.0,0.0,0.0,0.0,1.62952,0.00646,0.0,0.93716
2026704872669184,True,False,1750159784676680065,1750159784892445853,215.76579,0.43815,0.0,0.0,0.0,0.0,0.0,214.1141,0.1139,0.0,1.09963
2088032710688769,False,False,1750159785844701613,1750159786025382554,180.68094,0.00074,0.0,0.0,0.0,0.0,0.0,179.65256,0.008,0.0,1.01963
927734410772480,False,False,1750159765735633993,1750159765738121276,2.48728,0.00036,0.0,0.0,0.0,0.0,0.0,1.3122,0.00526,0.0,1.16946
55834574848001,False,False,1750159753195293581,1750159753336341574,141.04799,0.00035,0.0,0.0,0.0,0.0,0.0,4.17366,0.00585,0.0,136.86813
3465699305455616,True,False,1750159809698355569,1750159809913150534,214.79496,0.20353,0.0,0.0,0.0,0.0,0.0,212.77734,0.61293,0.0,1.20116
2923008712769536,False,False,1750159800461417086,1750159800636820986,175.4039,0.00038,0.0,0.0,0.0,0.0,0.0,174.15052,0.00497,0.0,1.24803
1241924153376768,False,False,1750159771410418928,1750159771413695835,3.27691,0.00043,0.0,0.0,0.0,0.0,0.0,2.25596,0.00587,0.0,1.01465
893593715736576,False,False,1750159765116562891,1750159765310041252,193.47836,0.00035,0.0,0.0,0.0,0.0,0.0,192.37413,0.00671,0.0,1.09717
658577400266753,False,False,1750159760890625880,1750159761078028279,187.4024,0.00046,0.0,0.0,0.0,0.0,0.0,186.07505,0.00528,0.0,1.3216
2021009746034689,False,False,1750159784572109489,1750159784765653012,193.54352,0.00056,0.0,0.0,0.0,0.0,0.0,192.72674,0.00711,0.0,0.80911
543588240850945,False,False,1750159758899514666,1750159759043668778,144.15411,0.0008,0.0,0.0,0.0,0.0,0.0,142.19052,0.00654,0.0,1.95624
2766530169274369,True,False,1750159797795469727,1750159797926591309,131.12158,0.33479,0.0,0.0,0.0,0.0,0.0,129.42215,0.40041,0.0,0.96423
2498146252881920,False,False,1750159793215111469,1750159793422176994,207.06552,0.00058,0.0,0.0,0.0,0.0,0.0,205.97026,0.00792,0.0,1.08676
1258146244853761,False,False,1750159771699525401,1750159771892062235,192.53683,0.00043,0.0,0.0,0.0,0.0,0.0,191.66016,0.01748,0.0,0.85876
1382111885918209,False,False,1750159773827205743,1750159774010272889,183.06715,0.00059,0.0,0.0,0.0,0.0,0.0,181.75648,0.00686,0.0,1.30321
3079680529793025,False,False,1750159803197720587,1750159803284000928,86.28034,0.00064,0.0,0.0,0.0,0.0,0.0,71.11084,0.01316,0.0,15.15569
