x_var,detock_lsh_p50,detock_lsh_p90,detock_lsh_p95,detock_lsh_p99,detock_fsh_p50,detock_fsh_p90,detock_fsh_p95,detock_fsh_p99,detock_mh_p50,detock_mh_p90,detock_mh_p95,detock_mh_p99,detock_read_p50,detock_read_p90,detock_read_p95,detock_read_p99,detock_write_p50,detock_write_p90,detock_write_p95,detock_write_p99,janus_lsh_p50,janus_lsh_p90,janus_lsh_p95,janus_lsh_p99,janus_fsh_p50,janus_fsh_p90,janus_fsh_p95,janus_fsh_p99,janus_mh_p50,janus_mh_p90,janus_mh_p95,janus_mh_p99,janus_read_p50,janus_read_p90,janus_read_p95,janus_read_p99,janus_write_p50,janus_write_p90,janus_write_p95,janus_write_p99,calvin_lsh_p50,calvin_lsh_p90,calvin_lsh_p95,calvin_lsh_p99,calvin_fsh_p50,calvin_fsh_p90,calvin_fsh_p95,calvin_fsh_p99,calvin_mh_p50,calvin_mh_p90,calvin_mh_p95,calvin_mh_p99,calvin_read_p50,calvin_read_p90,calvin_read_p95,calvin_read_p99,calvin_write_p50,calvin_write_p90,calvin_write_p95,calvin_write_p99,slog_lsh_p50,slog_lsh_p90,slog_lsh_p95,slog_lsh_p99,slog_fsh_p50,slog_fsh_p90,slog_fsh_p95,slog_fsh_p99,slog_mh_p50,slog_mh_p90,slog_mh_p95,slog_mh_p99,slog_read_p50,slog_read_p90,slog_read_p95,slog_read_p99,slog_write_p50,slog_write_p90,slog_write_p95,slog_write_p99,cockroachdb_lsh_p50,cockroachdb_lsh_p90,cockroachdb_lsh_p95,cockroachdb_lsh_p99,cockroachdb_fsh_p50,cockroachdb_fsh_p90,cockroachdb_fsh_p95,cockroachdb_fsh_p99,cockroachdb_mh_p50,cockroachdb_mh_p90,cockroachdb_mh_p95,cockroachdb_mh_p99,cockroachdb_read_p50,cockroachdb_read_p90,cockroachdb_read_p95,cockroachdb_read_p99,cockroachdb_write_p50,cockroachdb_write_p90,cockroachdb_write_p95,cockroachdb_write_p99
0.9999992666666667,11.041988,18.224992,24.811856,121.2493183000001,149.449631,878.200191,958.425832,1041.8499025999997,151.4501295,884.6437722000001,968.8269072500003,1046.69216694,,,,,,,,,144.064626,187.49733640000002,212.5238295,260.7946830600001,,,,,,,,,,,,,,,,,227.076982,546.0058105,914.104454,2128.7236915000003,,,,,,,,,,,,,,,,,9.059005,13.718167000000001,15.492070199999999,31.247201279999945,152.644334,1069.1280952000002,1138.0987335999998,1338.65926872,154.8966345,1074.3176591000001,1149.2401835499998,1340.9292793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999993333333334,9.495977,14.4569773,16.957334149999998,42.93946501000004,146.7623145,1623.9654076000002,2143.0766790499997,2277.19550545,148.716878,1639.840977,2145.6410225,2278.6696213,,,,,,,,,143.586849,191.6666691,269.4342547999999,646.0515795700001,,,,,,,,,,,,,,,,,253.38945999999999,778.1362828000006,1378.0055367500015,3873.3693501300068,,,,,,,,,,,,,,,,,9.3029785,14.027256900000001,16.08310585,42.572826140000004,153.2426495,991.2545358,1060.6469457,1763.2773203400004,155.5059685,998.0191346999999,1062.2123693,1776.37702057,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999994,9.497726,14.5170006,17.95057639999998,48.10263333999999,147.217213,1674.54023,1837.015589999999,1969.94703064,149.275884,1696.6789940000006,1845.7462982,1970.96891564,,,,,,,,,143.065212,202.5565054000002,250.6746698999999,498.00160268,,,,,,,,,,,,,,,,,249.222886,1080.544368,2010.690871,3255.3965373999995,,,,,,,,,,,,,,,,,9.307341,14.0886848,16.032941799999993,26.05664306,154.16433849999999,941.5631265,992.770968,1062.45661775,156.336981,942.1792323,994.1797167999999,1062.73183049,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999994666666666,9.720038,15.7406562,28.614061399999922,146.97581312000034,150.385128,712.4570688000007,1157.9366062,1621.19684476,152.691728,785.5509408000004,1382.1006623999997,9853.318600820001,,,,,,,,,144.186585,186.68511400000003,204.010874,271.2417355200001,,,,,,,,,,,,,,,,,226.106108,783.950045,1811.933525,2985.975099,,,,,,,,,,,,,,,,,9.784871500000001,15.775709800000008,20.9017817,178.4120252800001,154.790332,906.8152823999999,973.0941593999997,1239.56831369,157.40142600000001,923.9289251000001,1017.5658718499999,8441.898617769997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999995333333334,9.441222,14.8382726,18.72708589999999,55.89022913999996,147.156345,1263.3516498000001,1377.7939931,1511.6025096399997,149.16479049999998,1264.1871389,1377.2156364999998,1515.1133384299987,,,,,,,,,139.866321,212.268982,252.814826,522.2426358,,,,,,,,,,,,,,,,,253.322667,1038.6098015,1351.95489125,2314.5661475999996,,,,,,,,,,,,,,,,,9.407556,14.1877902,16.178963800000002,30.442707799999965,153.167787,994.27227,1192.663417,1251.1442842000001,155.530347,1002.1114888000001,1199.2693142,1254.0597195599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999996,9.46876,14.6108261,17.839216999999998,45.97383811000007,147.892499,1207.1430989,1438.5861176,1564.14351646,149.90373749999998,1210.454905,1445.0034745,1566.4374946499997,,,,,,,,,139.5835545,221.59842880000002,268.4514094999999,500.9393564200001,,,,,,,,,,,,,,,,,303.359704,598.172389,736.2328954999991,1830.0501813399999,,,,,,,,,,,,,,,,,9.372484,14.569634200000001,16.6584326,29.828952879999996,153.408809,987.4908567,1006.3397468000001,1059.8498620599999,155.7294525,990.5707945,1008.14264675,1061.2870318999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999996666666666,10.184229,16.00362580000003,19.829200599999986,49.19236234000001,147.98203,1254.7467657999998,1426.8724187999999,1509.2442391200002,150.107351,1264.6767096000008,1430.962908399998,1513.4067825099999,,,,,,,,,140.08979,191.30368740000006,232.40026550000007,363.06797816000005,,,,,,,,,,,,,,,,,217.7113865,637.4087351,762.8522694999998,1143.8284287600034,,,,,,,,,,,,,,,,,9.452403,14.285658,16.25437,35.0682835,152.68434,1136.0356714000002,1186.2817348,1211.54053478,154.9981445,1147.6465755,1189.4386112500001,1215.46546425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999997333333334,9.8711,16.746698,23.276341,75.55361799999999,147.083847,1829.7051206000026,3516.995931199999,5431.84066436,149.065394,1798.0008930000006,3519.9783777999983,5431.91683792,,,,,,,,,139.220882,237.5388195000001,348.0387563499994,475.8523291799999,,,,,,,,,,,,,,,,,254.68544100000003,858.0440237000003,1151.9501021,1378.1607671600002,,,,,,,,,,,,,,,,,9.9487035,14.976407100000001,17.0563285,27.338705779999945,153.7636075,911.4358909,944.1504921999999,976.4844576600001,156.131978,912.28922,944.569543,981.0456056,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999998,10.315835,17.190343,20.484769,59.231286,147.30298299999998,2480.2934635,2984.1518754999997,3374.303443,149.31336,2469.3757255,2964.14139475,3374.3770467,,,,,,,,,138.6511385,232.967951,288.1688046499997,552.5797116799988,,,,,,,,,,,,,,,,,254.213121,745.164367,1030.2630060000001,1252.3662705000008,,,,,,,,,,,,,,,,,9.904436,14.8421725,16.71879164999999,31.279879000000186,153.529945,989.4845116,1089.4022874999998,1139.87858574,155.8257795,991.3117194000002,1091.784562,1142.7299346399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999998666666666,10.692564,16.727547,19.638751800000005,76.00587660000026,147.470015,1216.9076305000003,1504.2312634499995,1627.9956568100001,149.382065,1225.4178662,1509.9482598,1627.44596932,,,,,,,,,139.94316,245.29650939999993,354.31614444999997,508.3368182599998,,,,,,,,,,,,,,,,,216.660013,767.2138266000001,2494.8201420000005,3719.919412080003,,,,,,,,,,,,,,,,,9.79052,14.495823000000001,16.3081899,35.66812741999998,153.436443,1048.355113,1153.734641,1483.6583,155.788377,1056.1896099,1153.9237792,1482.8999826300003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999999333333334,9.5262895,14.5769683,18.212182449999993,104.72442083999998,147.330741,2029.1181562000008,2177.9223826,2214.4042321599995,149.362448,2033.0156261999998,2179.55633195,2215.38166238,,,,,,,,,139.440398,240.8724074,272.9209902,378.78170920000014,,,,,,,,,,,,,,,,,271.002452,827.9447408,1039.2738613999998,1317.7008312300004,,,,,,,,,,,,,,,,,9.7328115,16.7321965,33.406962,59.040265750000046,154.28245850000002,725.5793299000002,1676.8363640999994,2940.94519964,156.807002,815.6191706000006,1835.854839600001,2949.89645184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9999999933333333,10.991726,17.4053222,30.839564600000074,242.81833559999947,148.703597,1267.6257012,1393.5868756,1436.8713992800003,150.871581,1268.3316212000002,1394.7472826,1438.5503118400002,,,,,,,,,138.3758515,190.91511659999998,245.8842217999999,520.55025056,,,,,,,,,,,,,,,,,239.360174,376.13403840000007,941.6047798000004,4113.78191016,,,,,,,,,,,,,,,,,10.543755,22.838358600000003,27.354671600000003,38.925907660000064,158.5942685,716.1655249,738.9187919000001,840.0564534700002,161.001976,719.167891,741.41479,846.3114805999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25831.092922,39829.091470700005,40720.11845195,41221.84730143,,,,,38648.4135065,53227.5880375,66526.55924824996,73609.60104146,,,,,,,,
